編號,用人機關類別 / 名稱,地點,職缺數
156,非營利組織 / 南投縣山合福音生命關懷協會,南投縣山合福音生命關懷協會,- 
157,政府部門 / 南投縣仁愛鄉公所,仁愛鄉公所,2 
158,政府部門 / 南投縣仁愛鄉戶政事務所,南投縣仁愛鄉戶政事務所,- 
159,文化健康站 / 南投縣仁愛鄉都達社區發展協會,都達文化健康站,1 
160,文化健康站 / 南投縣仁愛鄉親愛社區發展協會,親愛文化健康站,1 
161,文化健康站 / 南投縣仁愛鄉廬山社區發展協會,廬山波瓦倫文化健康站,- 
162,文化健康站 / 南投縣武界部落文化觀光發展協會,武界文化健康站,1 
163,文化健康站 / 南投縣信義鄉人和社區發展協會,羅羅谷文化健康站,2 
164,政府部門 / 南投縣信義鄉公所,南投縣信義鄉公所,- 
165,政府部門 / 南投縣信義鄉戶政事務所,南投縣信義鄉戶政事務所,- 
166,非營利組織 / 南投縣信義鄉卡里布安社區發展協會,南投縣信義鄉卡里布安社區發展協會,1 
167,文化健康站 / 南投縣信義鄉新鄉社區發展協會,新鄉文化健康站,- 
168,文化健康站 / 南投縣信義鄉潭南社區發展協會,潭南文化健康站,- 
169,政府部門 / 南投縣政府原住民族行政處,南投縣政府原住民族行政處,- 
170,文化健康站 / 南投縣原民樸溯永續發展協會,清流文化健康站,- 
171,文化健康站 / 南投縣原住民全人關懷協會,史努櫻文化健康站,- 
172,文化健康站 / 南投縣都市原住民文化教育發展協會,南投市技茉安文化健康站,- 
173,文化健康站 / 南投縣愛加倍家庭關懷協會,愛加倍文化健康站,- 
174,文化健康站 / 南投縣德鹿谷愛部落關懷協會,德鹿谷文化健康站,- 
175,文化健康站 / 台灣基督長老教會中布中會望鄉教會,望鄉文健站,1 
176,文化健康站 / 台灣基督長老教會泰雅爾中會力發教會,力發文化健康站,1 
177,文化健康站 / 台灣基督長老教會泰雅爾中會以便以謝教會,慕懷愫文化健康站,1 
178,文化健康站 / 台灣基督長老教會泰雅爾中會柄史布淦教會,瑞岩文化健康站,1 
179,文化健康站 / 台灣基督長老教會泰雅爾中會眉原教會,眉原文化健康站,1 
180,文化健康站 / 台灣基督長老教會泰雅爾中會紅香教會,葛拿義文化健康站,- 
181,文化健康站 / 台灣基督長老教會泰雅爾中會馬烈霸教會,南投縣仁愛鄉馬烈霸文化健康站,1 
182,原家中心 / 財團法人基督教芥菜種會,南投縣仁愛鄉原住民族家庭服務中心,1 
183,原家中心 / 財團法人基督教芥菜種會,南投縣信義鄉原住民族家庭服務中心,1 
184,原家中心 / 財團法人基督教芥菜種會,埔里及魚池區原住民族家庭服務中心,1 
185,政府部門 / 雲林縣斗南戶政事務所,雲林縣斗南鎮中山路178號,2 
186,政府部門 / 雲林縣政府民政處,雲林縣斗六市雲林路二段515號,1 
187,政府部門 / 雲林縣麥寮戶政事務所,雲林縣麥寮鄉中興路123號,1 
188,受政府捐助之財團法人 / 財團法人自行車暨健康科技工業研究發展中心,嘉義市西區博愛路二段569號(嘉義分部),2 
